Only_Coords_Specimens_CoordinateTableToPoint.OID,Only_Coords_Specimens_CoordinateTableToPoint.catalogNumber,Only_Coords_Specimens_CoordinateTableToPoint.class,Only_Coords_Specimens_CoordinateTableToPoint.order_,Only_Coords_Specimens_CoordinateTableToPoint.family,Only_Coords_Specimens_CoordinateTableToPoint.scientificName,Only_Coords_Specimens_CoordinateTableToPoint.taxonID,Only_Coords_Specimens_CoordinateTableToPoint.scientificNameAuthorship,Only_Coords_Specimens_CoordinateTableToPoint.genus,Only_Coords_Specimens_CoordinateTableToPoint.specificEpithet,Only_Coords_Specimens_CoordinateTableToPoint.infraspecificEpithet,Only_Coords_Specimens_CoordinateTableToPoint.taxonRank,Only_Coords_Specimens_CoordinateTableToPoint.identifiedBy,Only_Coords_Specimens_CoordinateTableToPoint.dateIdentified,Only_Coords_Specimens_CoordinateTableToPoint.collectedBy,Only_Coords_Specimens_CoordinateTableToPoint.recordNumber,Only_Coords_Specimens_CoordinateTableToPoint.eventDate,Only_Coords_Specimens_CoordinateTableToPoint.year,Only_Coords_Specimens_CoordinateTableToPoint.month,Only_Coords_Specimens_CoordinateTableToPoint.day,Only_Coords_Specimens_CoordinateTableToPoint.startDayOfYear,Only_Coords_Specimens_CoordinateTableToPoint.verbatimEventDate,Only_Coords_Specimens_CoordinateTableToPoint.occurrenceRemarks,Only_Coords_Specimens_CoordinateTableToPoint.habitat,Only_Coords_Specimens_CoordinateTableToPoint.informationWithheld,Only_Coords_Specimens_CoordinateTableToPoint.county,Only_Coords_Specimens_CoordinateTableToPoint.locality,Only_Coords_Specimens_CoordinateTableToPoint.decimalLatitude,Only_Coords_Specimens_CoordinateTableToPoint.decimalLongitude,Only_Coords_Specimens_CoordinateTableToPoint.geodeticDatum,Only_Coords_Specimens_CoordinateTableToPoint.coordinateUncertaintyInMeters,Only_Coords_Specimens_CoordinateTableToPoint.N_latitude,Only_Coords_Specimens_CoordinateTableToPoint.W_longitude,Only_Coords_Specimens_CoordinateTableToPoint.N_latitude_D,Only_Coords_Specimens_CoordinateTableToPoint.W_longitude_D,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceProtocol,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceSources,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceRemarks,Only_Coords_Specimens_CoordinateTableToPoint.minimumElevationInMeters,Only_Coords_Specimens_CoordinateTableToPoint.verbatimElevation,Only_Coords_Specimens_CoordinateTableToPoint.month_fctr,Only_Coords_Specimens_CoordinateTableToPoint.recordedBy_og,Only_Coords_Specimens_CoordinateTableToPoint.coll_gr,Only_Coords_Specimens_CoordinateTableToPoint.DDLat,Only_Coords_Specimens_CoordinateTableToPoint.DDLon,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.OBJECTID,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.Join_Count,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TARGET_FID,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.AREA,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.PERIMETER,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWPNW924_,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWPNW924_I,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DTR,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DIR,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWP,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.RNG,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DIR_ALPHA
21,SUWS010049,Equisetopsida,Lycopodiales,Lycopodiaceae,Diphasiastrum digitatum,3414,(Dill. ex A.Braun) Holub,Diphasiastrum,digitatum,,,,,"Davidson, Donald W.",s.n.,1985-08-16,1985,8,16,228,1985-08-16,,Mixed deciduous and coniferous forest.,NA,Douglas,3 miles S of Lake Amnicon and 500 ft E of CTH A,46.43215,-92.06223,NA,927,46.432150 N, 92.062230 W,46.43215,-92.06223,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,"Davidson, Donald W.; Zirngibl, William","Davidson, Donald W.",46.43215,-92.06223,21,1,21,91263021.28,38286.4416,73,72,24614,2,46,14,W
22,SUWS010050,Equisetopsida,Lycopodiales,Lycopodiaceae,Diphasiastrum digitatum,3414,(Dill. ex A.Braun) Holub,Diphasiastrum,digitatum,,,,,"Davidson, Donald W.",s.n.,1985-11-20,1985,11,20,324,1985-11-20,,Aspen being replaced by mesic hardwoods Balsam fir and paper birch.,NA,Ashland,Rd. 187 (National Forest Road). Near Morgan Falls.,46.34717,-90.9163,NA,429,46.347170 N, 90.916300 W,46.34717,-90.9163,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,November,"Davidson, Donald W.; Johnson, Robbye, Heim, Michael","Davidson, Donald W.",46.34717,-90.9163,22,1,22,93389785.25,38707.53882,101,100,24504,2,45,4,W
23,SUWS010051,Equisetopsida,Lycopodiales,Lycopodiaceae,Diphasiastrum digitatum,3414,(Dill. ex A.Braun) Holub,Diphasiastrum,digitatum,,,,,Brashier,PL-252,1964-07-06,1964,7,6,188,1964-07-06,,Hardwood forest floor.,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Smith,Brashier,46.34228,-91.34901,23,1,23,92054397.66,38461.88047,97,96,24508,2,45,8,W
24,SUWS010052,Equisetopsida,Lycopodiales,Lycopodiaceae,Diphasiastrum digitatum,3414,(Dill. ex A.Braun) Holub,Diphasiastrum,digitatum,,,,,"Mitchell, John A.",s.n.,1968-05-01,1968,5,1,122,1968-05-01,,Moist area beneath large old growth of white pine.,NA,Bayfield,"Iron River. S shore, Twin Bear Lake, S of Iron River",46.50626,-91.36704,NA,1083,46.506260 N, 91.367040 W,46.50626,-91.36704,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,May,"Mitchell, John A.",Other Collectors,46.50626,-91.36704,24,1,24,91796993.66,38434.98866,62,61,24708,2,47,8,W
25,SUWS010053,Equisetopsida,Lycopodiales,Lycopodiaceae,Diphasiastrum digitatum,3414,(Dill. ex A.Braun) Holub,Diphasiastrum,digitatum,,,,,"Johnson, Kurt",s.n.,1967-07-12,1967,7,12,193,1967-07-12,,Woods.,NA,Bayfield,"Drummond. Donald's Road, 3 mi. NE of Drummond",46.37173,-91.21608,NA,1757,46.371730 N, 91.216080 W,46.37173,-91.21608,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Johnson, Kurt",Other Collectors,46.37173,-91.21608,25,1,25,92482175.4,38459.07192,98,97,24507,2,45,7,W
26,SUWS010054,Equisetopsida,Lycopodiales,Lycopodiaceae,Diphasiastrum digitatum,3414,(Dill. ex A.Braun) Holub,Diphasiastrum,digitatum,,,,,Brashier,PL-251,1964-07-15,1964,7,15,197,1964-07-15,,Forest floor.,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Walvoord,Brashier,46.34228,-91.34901,26,1,26,92054397.66,38461.88047,97,96,24508,2,45,8,W
27,SUWS010056,Equisetopsida,Lycopodiales,Lycopodiaceae,Huperzia lucidula,3885,(Michx.) Trevis.,Huperzia,lucidula,,,,,"Mitchell, John A.",s.n.,1968-05-01,1968,5,1,122,1968-05-01,,"Just above lake edge on slope bank beneath large old growth white pines, soil sandy and covered with needles.",NA,Bayfield,"Iron River. S shore Twin Bear Lake, S of Iron River",46.50626,-91.36704,NA,1083,46.506260 N, 91.367040 W,46.50626,-91.36704,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,May,"Mitchell, John A.",Other Collectors,46.50626,-91.36704,27,1,27,91796993.66,38434.98866,62,61,24708,2,47,8,W
28,SUWS010070,Equisetopsida,Lycopodiales,Lycopodiaceae,Diphasiastrum tristachyum,3415,(Pursh) Holub,Diphasiastrum,tristachyum,,,,,"Zarling, Ruth",s.n.,1967-07-28,1967,7,28,209,1967-07-28,,Jack pine forest.,NA,Bayfield,"On CTH N, 5 miles from Pigeon Lake Field Station",46.33991,-91.36446,NA,9024,46.339910 N, 91.364460 W,46.33991,-91.36446,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Zarling, Ruth",Other Collectors,46.33991,-91.36446,28,1,28,92054397.66,38461.88047,97,96,24508,2,45,8,W
29,SUWS010072,Equisetopsida,Lycopodiales,Lycopodiaceae,Diphasiastrum tristachyum,3415,(Pursh) Holub,Diphasiastrum,tristachyum,,,,,"Zirngibl, William",s.n.,1985-07-20,1985,7,20,201,1985-07-20,,Mature poplar and pine forest about 15 ft. from edge of swamp. Deep rhizome not surficial.,NA,Price,"9 miles N of Phillips, E side of Rd. (Hwy 13), Property of Roger Kreger. [W of Coolidge Lake]",45.82694,-90.40043,NA,3036,45.826940 N, 90.400430 W,45.82694,-90.40043,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Zirngibl, William",Other Collectors,45.82694,-90.40043,29,1,29,98679578.21,40024.51225,294,293,43901,4,39,1,E
30,SUWS010073,Equisetopsida,Lycopodiales,Lycopodiaceae,Diphasiastrum tristachyum,3415,(Pursh) Holub,Diphasiastrum,tristachyum,,,,,"Johnson, Robbye",s.n.,1985-10-09,1985,10,9,282,1985-10-09,,,NA,Bayfield,"1.5 miles N by NE of CTH A and National Forest Rd. 390 [there is no FR 390, there is 391 just S of Camp Nine Lake that jcts. with CTH A]",46.40073,-91.41715,NA,819,46.400730 N, 91.417150 W,46.40073,-91.41715,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,October,"Johnson, Robbye",Other Collectors,46.40073,-91.41715,30,1,30,92054397.66,38461.88047,97,96,24508,2,45,8,W
31,SUWS010075,Equisetopsida,Lycopodiales,Lycopodiaceae,Diphasiastrum tristachyum,3415,(Pursh) Holub,Diphasiastrum,tristachyum,,,,,"Johnson, Robbye",s.n.,1985-10-09,1985,10,9,282,1985-10-09,,,NA,Bayfield,"Iron River. Fred's Rd. Chequmegon National Forest, off of CTH A in Iron River",46.62887,-91.31853,NA,7370,46.628870 N, 91.318530 W,46.62887,-91.31853,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,October,"Johnson, Robbye",Other Collectors,46.62887,-91.31853,31,1,31,90096815.94,37938.03931,47,46,24808,2,48,8,W
32,SUWS010076,Equisetopsida,Lycopodiales,Lycopodiaceae,Diphasiastrum tristachyum,3415,(Pursh) Holub,Diphasiastrum,tristachyum,,,,,"Johnson, Robbye",s.n.,1985-10-09,1985,10,9,282,1985-10-09,,"Brush prairie, burned 10 years before collection, full sun.",NA,Douglas,CTH T and Cronin Rd. S Douglas Co. [can't find Cronin Rd.],46.18661,-91.98815,NA,14403,46.186610 N, 91.988150 W,46.18661,-91.98815,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,October,"Johnson, Robbye",Other Collectors,46.18661,-91.98815,32,1,32,93673818.22,38764.77032,131,130,24313,2,43,13,W
33,SUWS010078,Equisetopsida,Equisetales,Equisetaceae,Equisetum arvense,3530,L.,Equisetum,arvense,,,"Peck, James H.",,"Thomson, John W., Jr.",s.n.,1942-07-18,1942,7,18,199,1942-07-18,,,NA,Douglas,Superior. Sand Island in Superior Bay,46.73216,-92.0663,NA,5466,46.732160 N, 92.066300 W,46.73216,-92.0663,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Thomson, John W., Jr.; Smith, C. W.","Thomson, John W., Jr.",46.73216,-92.0663,33,1,33,77718721.67,35378.21444,29,28,24914,2,49,14,W
34,SUWS010090,Equisetopsida,Selaginellales,Selaginellaceae,Selaginella rupestris,5023,(L.) Spring,Selaginella,rupestris,,,"Peck, James H.",,Cherf,s.n.,1964-07-25,1964,7,25,207,1964-07-25,,On rock in side of cliff.,NA,Bayfield,Pigeon Lake Biology Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Cherf; Brashier,Other Collectors,46.34228,-91.34901,34,1,34,92054397.66,38461.88047,97,96,24508,2,45,8,W
35,SUWS010091,Equisetopsida,Ophioglossales,Ophioglossaceae,Botrychium virginianum,12874,(L.) Sw.,Botrychium,virginianum,,,"Peck, James H.",,Brashier,PL-229,1964-07-15,1964,7,15,197,1964-07-15,,Floor of virgin hemlock forest.,NA,Bayfield,Pigeon Lake Biology Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Cherf,Brashier,46.34228,-91.34901,35,1,35,92054397.66,38461.88047,97,96,24508,2,45,8,W
36,SUWS010095,Equisetopsida,Osmundales,Osmundaceae,Osmunda cinnamomea,4382,L.,Osmunda,cinnamomea,,,,,Brashier,PL-227,1964-07-04,1964,7,4,186,1964-07-04,,Shady forest floor.,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Grage,Brashier,46.34228,-91.34901,36,1,36,92054397.66,38461.88047,97,96,24508,2,45,8,W
37,SUWS010097,Equisetopsida,Osmundales,Osmundaceae,Osmunda cinnamomea,4382,L.,Osmunda,cinnamomea,,,,,Brashier,PL-240,1964-06-30,1964,6,30,182,1964-06-30,,Forest floor.,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier,Brashier,46.34228,-91.34901,37,1,37,92054397.66,38461.88047,97,96,24508,2,45,8,W
38,SUWS010098,Equisetopsida,Osmundales,Osmundaceae,Osmunda cinnamomea,4382,L.,Osmunda,cinnamomea,,,,,Brashier,PL-225,1964-06-30,1964,6,30,182,1964-06-30,,"Shady, moist forest floor.",NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Raatz,Brashier,46.34228,-91.34901,38,1,38,92054397.66,38461.88047,97,96,24508,2,45,8,W
39,SUWS010103,Equisetopsida,Osmundales,Osmundaceae,Osmunda claytoniana,4383,L.,Osmunda,claytoniana,,,,,"Thomson, John W., Jr.",s.n.,1942-06-27,1942,6,27,178,1942-06-27,,,NA,Douglas,Superior. Road to Wisconsin Point,46.69472,-91.99265,NA,2450,46.694720 N, 91.992650 W,46.69472,-91.99265,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,"Thomson, John W., Jr.","Thomson, John W., Jr.",46.69472,-91.99265,39,1,39,55863880.81,35086.16969,36,35,24913,2,49,13,W
40,SUWS010119,Equisetopsida,Polypodiales,Thelypteridaceae,Phegopteris connectilis,4474,(Michx.) Watt,Phegopteris,connectilis,,,"Peck, James H.",1978,"Koch, Rudy G.",8858,1974-07-25,1974,7,25,206,1974-07-25,,"Forest, maple stand.",NA,Ashland,Stockton Island. One of the Apostle Island group; ca. 10 miles NE of Bayfield,46.13035,-90.66867,NA,13163,46.130350 N, 90.668670 W,46.13035,-90.66867,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Koch, Rudy G.","Koch, Rudy G.",46.13035,-90.66867,40,1,40,91721911.53,38380.86008,171,170,24202,2,42,2,W
41,SUWS010121,Equisetopsida,Polypodiales,Dryopteridaceae,Athyrium filix-femina var. angustum,6516,(Willd.) G.Lawson,Athyrium,filix-femina,angustum,var.,,,"Koch, Rudy G.",6187,1969-08-21,1969,8,21,233,1969-08-21,,"Deciduous woods with some conifers, sandy soil in a shady area, along trail.",NA,Bayfield,"Drummond. Lake Owen Campground area, ca 5 mi. W of Drummond",46.33685,-91.36282,NA,2559,46.336850 N, 91.362820 W,46.33685,-91.36282,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,"Koch, Rudy G.","Koch, Rudy G.",46.33685,-91.36282,41,1,41,92054397.66,38461.88047,97,96,24508,2,45,8,W
42,SUWS010126,Equisetopsida,Polypodiales,Dryopteridaceae,Athyrium filix-femina var. angustum,6516,(Willd.) G.Lawson,Athyrium,filix-femina,angustum,var.,,,"Michell, John",s.n.,1968-07-14,1968,7,14,196,1968-07-14,,"Marsh with mostly black ash present, shady.",NA,Douglas,"Marsh area 800 ft. from Big Lake, Brule River 0.5 mile S of access landing.",46.47883,-91.60297,NA,986,46.478830 N, 91.602970 W,46.47883,-91.60297,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Michell, John",Other Collectors,46.47883,-91.60297,42,1,42,89686608.73,37997.96554,77,76,24610,2,46,10,W
43,SUWS010131,Equisetopsida,Polypodiales,Dryopteridaceae,Gymnocarpium dryopteris,3784,(L.) Newman,Gymnocarpium,dryopteris,,,"Peck, James H.",1978,"Mitchell, John A.",s.n.,1968-07-28,1968,7,28,210,1968-07-28,,"Cedar grove, old growth, very shady, growing mostly on rotting wood with moss.",NA,Douglas,"E of Stone's Bridge, CTH S, Brule River",46.43413,-91.67513,NA,1371,46.434130 N, 91.675130 W,46.43413,-91.67513,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Mitchell, John A.",Other Collectors,46.43413,-91.67513,43,1,43,89686608.73,37997.96554,77,76,24610,2,46,10,W
44,SUWS010136,Equisetopsida,Polypodiales,Dryopteridaceae,Matteuccia struthiopteris var. pensylvanica,4206,(Willd.) C.V.Morton,Matteuccia,struthiopteris,pensylvanica,var.,,,,s.n.,1942-07-13,1942,7,13,194,1942-07-13,,Creek valley.,NA,Douglas,"Dewey. Clear Creek, S of Dewey",46.55439,-92.24019,NA,2085,46.554390 N, 92.240190 W,46.55439,-92.24019,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,,Other Collectors,46.55439,-92.24019,44,1,44,87338259.18,37572.35729,54,53,24715,2,47,15,W
45,SUWS010138,Equisetopsida,Polypodiales,Dryopteridaceae,Onoclea sensibilis,4358,L.,Onoclea,sensibilis,,,"Peck, James H.",1978,Brashier,PL-233,1964-07-08,1964,7,8,190,1964-07-08,,Forest floor.,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Parrish,Brashier,46.34228,-91.34901,45,1,45,92054397.66,38461.88047,97,96,24508,2,45,8,W
46,SUWS010148,Equisetopsida,Polypodiales,Dryopteridaceae,Dryopteris intermedia,3446,(Muhl. ex Willd.) A.Gray,Dryopteris,intermedia,,,"Peck, James H.",1978,"Koch, Rudy G.",8848,1974-07-25,1974,7,25,206,1974-07-25,,"Forest floor, maple stand.",NA,Ashland,Stockton Island. Stockton Island in the Apostle Island group; ca. 10 miles NE of Bayfield,46.93799,-90.57852,NA,6365,46.937990 N, 90.578520 W,46.93799,-90.57852,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Koch, Rudy G.","Koch, Rudy G.",46.93799,-90.57852,46,1,46,106551216.4,41047.61986,10,9,25202,2,52,2,W
47,SUWS010150,Equisetopsida,Polypodiales,Dryopteridaceae,Dryopteris intermedia,3446,(Muhl. ex Willd.) A.Gray,Dryopteris,intermedia,,,"Peck, James H.",1978,Brashier,PL-237,1964-07-20,1964,7,20,202,1964-07-20,,Wet soil near bog.,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Cherf,Brashier,46.34228,-91.34901,47,1,47,92054397.66,38461.88047,97,96,24508,2,45,8,W
48,SUWS010152,Equisetopsida,Polypodiales,Dryopteridaceae,Dryopteris intermedia,3446,(Muhl. ex Willd.) A.Gray,Dryopteris,intermedia,,,"Peck, James H.",1977,"Koch, Rudy G.",6812,1970-06-27,1970,6,27,178,1970-06-27,,Mixed decidous forest.,NA,Bayfield,"Drummond. Perch Lake Campground area, Chequamegon National Forest; ca 5 mi. N of Drummond",46.38856,-91.26936,NA,2334,46.388560 N, 91.269360 W,46.38856,-91.26936,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,"Koch, Rudy G.","Koch, Rudy G.",46.38856,-91.26936,48,1,48,92482175.4,38459.07192,98,97,24507,2,45,7,W
49,SUWS010159,Equisetopsida,Polypodiales,Dryopteridaceae,Dryopteris intermedia,3446,(Muhl. ex Willd.) A.Gray,Dryopteris,intermedia,,,"Peck, James H.",1978,Brashier,PL-236,1964-07-08,1964,7,8,190,1964-07-08,,Mixed forest undergrowth.,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Thoren,Brashier,46.34228,-91.34901,49,1,49,92054397.66,38461.88047,97,96,24508,2,45,8,W
50,SUWS010160,Equisetopsida,Polypodiales,Dryopteridaceae,Dryopteris carthusiana,3440,(Vill.) H.P.Fuchs,Dryopteris,carthusiana,,,,,"Koch, Rudy G.",8010,1973-08-02,1973,8,2,214,1973-08-02,,,NA,Ashland,"Stockton Island. One of the Apostle Island group, ca. 10 miles NE Bayfield",46.13035,-90.66867,NA,13163,46.130350 N, 90.668670 W,46.13035,-90.66867,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,"Koch, Rudy G.","Koch, Rudy G.",46.13035,-90.66867,50,1,50,91721911.53,38380.86008,171,170,24202,2,42,2,W
51,SUWS010164,Equisetopsida,Pinales,Pinaceae,Abies balsamea,2407,(L.) Mill.,Abies,balsamea,,,,,Brashier,PL-217,1964-07-20,1964,7,20,202,1964-07-20,,,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Janowski,Brashier,46.34228,-91.34901,51,1,51,92054397.66,38461.88047,97,96,24508,2,45,8,W
52,SUWS010169,Equisetopsida,Pinales,Pinaceae,Picea mariana,4495,"(Mill.) Britton, Sterns & Poggenb.",Picea,mariana,,,,,"Thomson, John W., Jr.",s.n.,1943-08-21,1943,8,21,233,1943-08-21,,,NA,Douglas,On upper Brule below Douglas Springs,46.553,-91.57658,NA,25304,46.553000 N, 91.576580 W,46.553,-91.57658,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,"Thomson, John W., Jr.; Fassett, Norman C.","Thomson, John W., Jr.",46.553,-91.57658,52,1,52,93017478.21,38599.04619,60,59,24710,2,47,10,W
53,SUWS010200,Equisetopsida,Alismatales,Potamogetonaceae,Potamogeton amplifolius,4615,Tuck.,Potamogeton,amplifolius,,,,,"Swanson, Denny",44,1980-08-05,1980,8,5,218,1980-08-05,,Growing in 1 meter of water.,NA,Douglas,Lyman Lake; 25 miles S of Superior,46.45669,-91.98397,NA,1672,46.456690 N, 91.983970 W,46.45669,-91.98397,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,"Swanson, Denny",Other Collectors,46.45669,-91.98397,53,1,53,91217588.84,38217.38926,74,73,24613,2,46,13,W
54,SUWS010216,Equisetopsida,Alismatales,Potamogetonaceae,Potamogeton nodosus,4627,Poir.,Potamogeton,nodosus,,,,,"Sohmer, S. H.",7423,1973-06-05,1973,6,5,156,1973-06-05,,,NA,Vernon,Stoddard. Upper Mississippi Wildlife Preserve; near mile 685 of the Navigation channel [Near Stoddard],43.63458,-91.22566,NA,4000,43.634580 N, 91.225660 W,43.63458,-91.22566,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,"Sohmer, S. H.",Other Collectors,43.63458,-91.22566,54,1,54,77912173.73,37514.13445,1335,1334,21307,2,13,7,W
55,SUWS010225,Equisetopsida,Alismatales,Potamogetonaceae,Potamogeton pusillus,4632,L.,Potamogeton,pusillus,,,,,"Koch, Rudy G.",12557,1980-07-17,1980,7,17,199,1980-07-17,,Growing in about 12 inches of water; silt-muck bottom.,NA,Douglas,Superior. SW end of Allouez Bay at base of Wisconsin Point; ca. 3 miles SW of Superior,46.68671,-91.98638,NA,1562,46.686710 N, 91.986380 W,46.68671,-91.98638,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Koch, Rudy G.","Koch, Rudy G.",46.68671,-91.98638,55,1,55,55863880.81,35086.16969,36,35,24913,2,49,13,W
56,SUWS010318,Equisetopsida,Alismatales,Araceae,Arisaema triphyllum subsp. triphyllum,2605,,Arisaema,triphyllum,triphyllum,subsp.,"Gitar, Richard",28FEB1992,Brashier,29a,1964-06-04,1964,6,4,156,1964-06-04,,"Swampy, shaded area in deep woods, rich soil.",NA,Manitowoc,Near Kasbuam Lake on State Hwy. 42 S of jct. with U.S. Hwy 151,44.05936,-87.73621,NA,200,44.059360 N, 87.736210 W,44.05936,-87.73621,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Brashier,44.05936,-87.73621,56,1,56,93608408.96,38718.10323,1168,1167,41823,4,18,23,E
57,SUWS010320,Equisetopsida,Alismatales,Araceae,Arisaema triphyllum subsp. triphyllum,2605,,Arisaema,triphyllum,triphyllum,subsp.,"Gitar, Richard",28FEB1992,"Koch, Rudy G.",6946,1971-06-03,1971,6,3,154,1971-06-03,,"Hillside, oak-hickory woods; hills of the driftless area.",NA,Richland,Boaz. Ca. 5 miles N of Boaz,43.40249,-90.5566,NA,3000,43.402490 N, 90.556600 W,43.40249,-90.5566,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,"Koch, Rudy G.","Koch, Rudy G.",43.40249,-90.5566,57,1,57,93362370.91,38627.07442,1398,1397,21102,2,11,2,W
58,SUWS010326,Equisetopsida,Alismatales,Araceae,Calla palustris,2830,L.,Calla,palustris,,,,,Brashier,PL-25,1964-06-25,1964,6,25,177,1964-06-25,,In water hole.,NA,Bayfield,Near Pigeon Lake Field Station on Pigeon Lake Rd.,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Valaskey,Brashier,46.34228,-91.34901,58,1,58,92054397.66,38461.88047,97,96,24508,2,45,8,W
59,SUWS010334,Equisetopsida,Alismatales,Araceae,Lemna trisulca,4038,L.,Lemna,trisulca,,,,,"Brimmer, K.",64,1974-09-11,1974,9,11,254,1974-09-11,,Growing floating on the surface.,NA,La Crosse,Nelson Park; N end of French Island,43.89342,-91.26951,NA,200,43.893420 N, 91.269510 W,43.89342,-91.26951,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Brimmer, K.",Other Collectors,43.89342,-91.26951,59,1,59,92972836.75,38556.0399,1241,1240,21607,2,16,7,W
