"catalogNumber","county","recordedBy_primary","recordedBy_secondary","recordedBy_tertiary"
"SUWS010056","Bayfield","Mitchell, John A.","",""
"SUWS010057","Douglas","","",""
"SUWS010059","Bayfield","Heim, Michael","",""
"SUWS010060","Douglas","Zirngibl, William","",""
"SUWS010069","Burnett","Koch, Rudy G.","",""
"SUWS010070","Bayfield","Zarling, Ruth","",""
"SUWS010072","Price","Zirngibl, William","",""
"SUWS010073","Bayfield","Johnson, Robbye","",""
"SUWS010074","Bayfield","Askagard, Todd","",""
"SUWS010075","Bayfield","Johnson, Robbye","",""
"SUWS010076","Douglas","Johnson, Robbye","",""
"SUWS010078","Douglas","Thomson, John W., Jr."," Smith, C. W.",""
"SUWS010080","La Crosse","Davis, J. D.","",""
"SUWS010081","Douglas","Stackler, Susan","",""
"SUWS010082","Douglas","Clements, Jimmy D.","",""
"SUWS010083","Vernon","Brimmer, K.","",""
"SUWS010084","Douglas","Thomson, John W., Jr.","",""
"SUWS010086","Douglas","Koch, Rudy G.","",""
"SUWS010088","Iron","Koch, Rudy G.","",""
"SUWS010089","Douglas","Thomson, John W., Jr.","",""
"SUWS010090","Bayfield","Cherf"," Brashier",""
"SUWS010091","Bayfield","Brashier"," Cherf",""
"SUWS010092","Douglas","Thomson, John W., Jr.","",""
"SUWS010093","Douglas","Koch, Rudy G.","",""
"SUWS010094","Bayfield","Koch, Rudy G.","",""
"SUWS010095","Bayfield","Brashier"," Grage",""
"SUWS010097","Bayfield","Brashier","",""
"SUWS010098","Bayfield","Brashier"," Raatz",""
"SUWS010098b","Ashland","Brashier"," Thoren",""
"SUWS010099","Bayfield","Koch, Rudy G.","",""
"SUWS010100","Washburn","Koch, Rudy G.","",""
"SUWS010101","Bayfield","Koch, Rudy G.","",""
"SUWS010102","Iron","Koch, Rudy G.","",""
"SUWS010103","Douglas","Thomson, John W., Jr.","",""
"SUWS010104","Burnett","Koch, Rudy G.","",""
"SUWS010105","Bayfield","Koch, Rudy G.","",""
"SUWS010106","Bayfield","Koch, Rudy G.","",""
"SUWS010112","Douglas","Koch, Rudy G.","",""
"SUWS010113","Bayfield","Parrish"," Brashier",""
"SUWS010114","Douglas","Koch, Rudy G.","",""
"SUWS010115","Douglas","Gitar"," Rounce",""
"SUWS010116","Ashland","Koch, Rudy G.","",""
"SUWS010117","Bayfield","Brashier"," Valaskey",""
"SUWS010118","Bayfield","Thomson, John W., Jr.","",""
"SUWS010119","Ashland","Koch, Rudy G.","",""
"SUWS010120","Douglas","Koch, Rudy G.","",""
"SUWS010121","Bayfield","Koch, Rudy G.","",""
"SUWS010123","Douglas","Thomson, John W., Jr.","",""
"SUWS010124","Douglas","Thomson, John W., Jr.","",""
"SUWS010125","Douglas","Thomson, Olive S.","",""
"SUWS010126","Douglas","Michell, John","",""
"SUWS010127","Douglas","Thomson, John W., Jr.","",""
"SUWS010129","Douglas","Koch, Rudy G.","",""
"SUWS010130","Iron","Koch, Rudy G.","",""
"SUWS010131","Douglas","Mitchell, John A.","",""
"SUWS010132","Douglas","","",""
"SUWS010133","Bayfield","Thomson, John W., Jr.","",""
"SUWS010134","Douglas","Stackler, Susan","",""
"SUWS010135","Buffalo","Peck, James H.","",""
"SUWS010136","Douglas","","",""
"SUWS010138","Bayfield","Brashier"," Parrish",""
"SUWS010139","La Crosse","Sohmer, S. H.","",""
"SUWS010140","Waushara","Parfitt, Bruce","",""
"SUWS010141","Douglas","Koch, Rudy G.","",""
"SUWS010142","Douglas","Thomson, John W., Jr.","",""
"SUWS010143","Douglas","Thomson, John W., Jr.","",""
"SUWS010144","Douglas","Thomson, John W., Jr.","",""
"SUWS010145","Iron","Koch, Rudy G.","",""
"SUWS010147","Douglas","Thomson, John W., Jr.","",""
"SUWS010148","Ashland","Koch, Rudy G.","",""
"SUWS010149","La Crosse","Peck, James H.","",""
"SUWS010150","Bayfield","Brashier"," Cherf",""
"SUWS010151","Bayfield","Koch, Rudy G.","",""
