"catalogNumber","county","recordedBy_primary","recordedBy_secondary","recordedBy_tertiary"
"SUWS010761","Bayfield","Wassgren"," Brashier",""
"SUWS010762","Bayfield","Hjerleid"," Brashier",""
"SUWS010763","Juneau","Brashier"," Romans",""
"SUWS010764","Bayfield","Brashier"," Valaskey",""
"SUWS010765","Douglas","Collinson, Keith","",""
"SUWS010766","Douglas","Mitchell, John A.","",""
"SUWS010767","Douglas","Brashier"," Romans",""
"SUWS010768","Douglas","Brashier"," Romans",""
"SUWS010769","Douglas","Koch, Rudy G.","",""
"SUWS010770","Douglas","Castle, R.","",""
"SUWS010771","Douglas","Thomson, John W., Jr.","",""
"SUWS010772","Douglas","Thomson, John W., Jr.","",""
"SUWS010773","Douglas","Thomson, John W., Jr.","",""
"SUWS010774","Douglas","Bolender"," Jones, Brashier",""
"SUWS010775","Richland","Koch, Rudy G.","",""
"SUWS010777","Douglas","Koch, Rudy G.","",""
"SUWS010778","Burnett","Johnson, R.","",""
"SUWS010779","Bayfield","Cornell"," Brashier",""
"SUWS010780","Bayfield","Valaskey"," Brashier",""
"SUWS010781","Bayfield","Brashier"," Cherf",""
"SUWS010782","Bayfield","Muller"," Brashier",""
"SUWS010783","Douglas","Thomson, John W., Jr.","",""
"SUWS010784","Burnett","Brashier"," Romans",""
"SUWS010785","Bayfield","Brashier"," Gunderson",""
"SUWS010786","Bayfield","Brashier"," Janowski",""
"SUWS010789","Bayfield","Smith"," Brashier",""
"SUWS010790","Bayfield","Holden"," Brashier",""
"SUWS010791","Douglas","Shaw, Merton R.","",""
"SUWS010792","Bayfield","Barnard"," Brashier",""
