OID,catalogNumber,N_latitude,W_longitude,N_latitude_D,W_longitude_D,DDLat,DDLon,TWP,RNG,DIR_ALPHA
377,SUWS011364,46.553000 N, 91.576580 W,46.553,-91.57658,46.553,-91.57658,47,10,W
378,SUWS011366,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
379,SUWS011367,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
380,SUWS011368,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
381,SUWS011380,46.732160 N, 92.066300 W,46.73216,-92.0663,46.73216,-92.0663,49,14,W
382,SUWS011385,46.496960 N, 92.259050 W,46.49696,-92.25905,46.49696,-92.25905,46,15,W
383,SUWS011386,46.654970 N, 92.104420 W,46.65497,-92.10442,46.65497,-92.10442,48,14,W
384,SUWS011387,46.654970 N, 92.104420 W,46.65497,-92.10442,46.65497,-92.10442,48,14,W
385,SUWS011388,46.489860 N, 92.184140 W,46.48986,-92.18414,46.48986,-92.18414,46,15,W
386,SUWS011389,46.489860 N, 92.184140 W,46.48986,-92.18414,46.48986,-92.18414,46,15,W
387,SUWS011391,46.353270 N, 91.822410 W,46.35327,-91.82241,46.35327,-91.82241,45,12,W
388,SUWS011393,46.654970 N, 92.104420 W,46.65497,-92.10442,46.65497,-92.10442,48,14,W
389,SUWS011400,46.553000 N, 91.576580 W,46.553,-91.57658,46.553,-91.57658,47,10,W
390,SUWS011401,46.654970 N, 92.104420 W,46.65497,-92.10442,46.65497,-92.10442,48,14,W
391,SUWS011410,45.967410 N, 92.363490 W,45.96741,-92.36349,45.96741,-92.36349,40,16,W
392,SUWS011411,45.967410 N, 92.363490 W,45.96741,-92.36349,45.96741,-92.36349,40,16,W
393,SUWS011414,46.489170 N, 91.554950 W,46.48917,-91.55495,46.48917,-91.55495,46,10,W
394,SUWS011415,46.489860 N, 92.184140 W,46.48986,-92.18414,46.48986,-92.18414,46,15,W
395,SUWS011420,46.724590 N, 92.091960 W,46.72459,-92.09196,46.72459,-92.09196,49,14,W
396,SUWS011420b,46.711630 N, 92.090630 W,46.71163,-92.09063,46.71163,-92.09063,49,14,W
397,SUWS011421,46.489860 N, 92.184140 W,46.48986,-92.18414,46.48986,-92.18414,46,15,W
398,SUWS011423,46.489860 N, 92.184140 W,46.48986,-92.18414,46.48986,-92.18414,46,15,W
399,SUWS011424,46.345600 N, 91.199260 W,46.3456,-91.19926,46.3456,-91.19926,45,7,W
400,SUWS011425,46.082870 N, 92.111270 W,46.08287,-92.11127,46.08287,-92.11127,42,14,W
401,SUWS011426,46.636370 N, 92.103740 W,46.63637,-92.10374,46.63637,-92.10374,48,14,W
402,SUWS011428,46.636370 N, 92.103740 W,46.63637,-92.10374,46.63637,-92.10374,48,14,W
403,SUWS011429,46.654970 N, 92.104420 W,46.65497,-92.10442,46.65497,-92.10442,48,14,W
404,SUWS011430,46.464110 N, 91.899400 W,46.46411,-91.8994,46.46411,-91.8994,46,12,W
405,SUWS011431,46.489860 N, 92.184140 W,46.48986,-92.18414,46.48986,-92.18414,46,15,W
406,SUWS011435,46.586040 N, 91.720740 W,46.58604,-91.72074,46.58604,-91.72074,47,11,W
407,SUWS011437,46.536450 N, 91.153400 W,46.53645,-91.1534,46.53645,-91.1534,47,6,W
